year,mileage,tax,mpg,engineSize,model_ C-MAX,model_ EcoSport,model_ Edge,model_ Escort,model_ Fiesta,model_ Focus,model_ Fusion,model_ Galaxy,model_ Grand C-MAX,model_ Grand Tourneo Connect,model_ KA,model_ Ka+,model_ Kuga,model_ Mondeo,model_ Mustang,model_ Puma,model_ Ranger,model_ S-MAX,model_ Streetka,model_ Tourneo Connect,model_ Tourneo Custom,model_ Transit Tourneo,model_Focus,transmission_Manual,transmission_Semi-Auto,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
-1.3980878290909062,0.49612947504471,0.7526204594661416,-1.3261214985439278,-0.4479841973972779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1.0406047608086892,-1.060452229266862,0.5913580465756155,-0.8322756556859515,-0.4479841973972779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.06512772484885097,-0.32414578910997754,0.5913580465756155,-0.14089147568478486,1.8204724233579357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1.8858263470708254,1.075488682090104,-1.8275781467822763,1.83449189574712,-0.4479841973972779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0406047608086892,-0.9510616512146777,0.5107268401303525,-2.3138131842598804,-0.4479841973972779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.4226107931310681,0.4338333383417526,0.18820201434930023,0.2541851986015961,1.8204724233579357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06512772484885097,1.012678974598169,0.5107268401303525,-1.3261214985439278,-0.4479841973972779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.06512772484885097,1.2221131423431488,0.5107268401303525,-0.33842981282797535,1.8204724233579357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.8858263470708254,0.08409163104814989,-1.8275781467822763,0.7480310414595723,-0.4479841973972779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.06512772484885097,0.3352791039369914,0.5107268401303525,0.2541851986015961,-0.4479841973972779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0406047608086892,-0.6740929247191713,0.5107268401303525,-1.819967341401904,-0.4479841973972779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
